episode:44,Updates:44/250,Timesteps:9000/50000,FPS:139.0,avg_sp:-3.43,value_loss:0.03649168213208517,policy_loss:0.02366288248449564,dist_entropy:0.8915192802747091,actor_grad_norm:1.4636626243591309,critic_grad_norm:0.4612746834754944,ratio:1.000383973121643,average_step_rewards:-1.7599999904632568
episode:45,Updates:45/250,Timesteps:9200/50000,FPS:139.0,avg_sp:-3.217821782178218,value_loss:0.02746389831105868,policy_loss:-0.04621781135598819,dist_entropy:0.8822439630826314,actor_grad_norm:1.486440896987915,critic_grad_norm:0.8015616536140442,ratio:0.9988299608230591,average_step_rewards:-1.6924999952316284
episode:46,Updates:46/250,Timesteps:9400/50000,FPS:139.0,avg_sp:-2.62,value_loss:0.11900351494550705,policy_loss:0.031962704534331955,dist_entropy:0.9013540029525757,actor_grad_norm:1.787216067314148,critic_grad_norm:0.7943248748779297,ratio:1.005240797996521,average_step_rewards:-1.2799999713897705
episode:47,Updates:47/250,Timesteps:9600/50000,FPS:139.0,avg_sp:-3.396039603960396,value_loss:0.049820303171873095,policy_loss:0.011145465603719155,dist_entropy:0.8846734523773193,actor_grad_norm:1.2911300659179688,critic_grad_norm:0.525714635848999,ratio:0.9985359907150269,average_step_rewards:-1.8075000047683716
episode:48,Updates:48/250,Timesteps:9800/50000,FPS:139.0,avg_sp:-3.11,value_loss:0.13674627244472504,policy_loss:0.02974345882733663,dist_entropy:0.859781014919281,actor_grad_norm:1.9546961784362793,critic_grad_norm:1.5417860746383667,ratio:1.0013325214385986,average_step_rewards:-1.5475000143051147
episode:49,Updates:49/250,Timesteps:10000/50000,FPS:139.0,avg_sp:-2.78,value_loss:0.027976475656032562,policy_loss:0.040770123402277626,dist_entropy:0.866142455736796,actor_grad_norm:1.417298674583435,critic_grad_norm:0.7232735753059387,ratio:0.9999485611915588,average_step_rewards:-1.3049999475479126
episode:50,Updates:50/250,Timesteps:10200/50000,FPS:139.0,avg_sp:-3.08,value_loss:0.019142218182484308,policy_loss:0.022830427686373393,dist_entropy:0.8666121562321981,actor_grad_norm:1.559621810913086,critic_grad_norm:0.4271058440208435,ratio:1.000423550605774,average_step_rewards:-1.4375
episode:51,Updates:51/250,Timesteps:10400/50000,FPS:139.0,avg_sp:-2.6,value_loss:0.029096675788362822,policy_loss:-0.010464086468952397,dist_entropy:0.8428334395090739,actor_grad_norm:1.9551327228546143,critic_grad_norm:0.25780850648880005,ratio:0.9991543292999268,average_step_rewards:-1.2200000286102295
episode:52,Updates:52/250,Timesteps:10600/50000,FPS:139.0,avg_sp:-2.74,value_loss:0.03214488501350085,policy_loss:-0.015346901242931683,dist_entropy:0.8583590626716614,actor_grad_norm:0.9990173578262329,critic_grad_norm:0.3380807936191559,ratio:0.997148871421814,average_step_rewards:-1.4225000143051147
episode:53,Updates:53/250,Timesteps:10800/50000,FPS:139.0,avg_sp:-2.58,value_loss:0.06985646486282349,policy_loss:0.010568004318823416,dist_entropy:0.884780490398407,actor_grad_norm:1.5436363220214844,critic_grad_norm:0.5684421062469482,ratio:1.0014538764953613,average_step_rewards:-1.3574999570846558
episode:54,Updates:54/250,Timesteps:11000/50000,FPS:139.0,avg_sp:-2.68,value_loss:0.06338131551941235,policy_loss:0.08638135492801666,dist_entropy:0.8598864356676738,actor_grad_norm:2.3167102336883545,critic_grad_norm:0.4093445837497711,ratio:1.0002003908157349,average_step_rewards:-1.3075000047683716
episode:55,Updates:55/250,Timesteps:11200/50000,FPS:139.0,avg_sp:-2.54,value_loss:0.02888425104320049,policy_loss:0.03209837215642134,dist_entropy:0.8584232568740845,actor_grad_norm:1.6235390901565552,critic_grad_norm:0.4892902076244354,ratio:0.9972665905952454,average_step_rewards:-1.1825000047683716
episode:56,Updates:56/250,Timesteps:11400/50000,FPS:139.0,avg_sp:-2.91,value_loss:0.021208759024739267,policy_loss:-0.040554597477118176,dist_entropy:0.851043717066447,actor_grad_norm:1.1854618787765503,critic_grad_norm:0.2817341089248657,ratio:0.9959761500358582,average_step_rewards:-1.2649999856948853
episode:57,Updates:57/250,Timesteps:11600/50000,FPS:139.0,avg_sp:-2.92,value_loss:0.04331145832935969,policy_loss:-0.009870082574586074,dist_entropy:0.8462866385777791,actor_grad_norm:1.7426536083221436,critic_grad_norm:0.43322503566741943,ratio:0.9902738928794861,average_step_rewards:-1.2424999475479126
episode:58,Updates:58/250,Timesteps:11800/50000,FPS:139.0,avg_sp:-2.83,value_loss:0.035327893247207004,policy_loss:-0.011819278278077642,dist_entropy:0.8539966702461242,actor_grad_norm:1.6619889736175537,critic_grad_norm:0.22345300018787384,ratio:0.9965401887893677,average_step_rewards:-1.252500057220459
episode:59,Updates:59/250,Timesteps:12000/50000,FPS:139.0,avg_sp:-2.82,value_loss:0.029561154544353485,policy_loss:-0.02548747422794501,dist_entropy:0.8389740188916525,actor_grad_norm:1.4496370553970337,critic_grad_norm:0.2608286738395691,ratio:0.9982063174247742,average_step_rewards:-1.2799999713897705
episode:60,Updates:60/250,Timesteps:12200/50000,FPS:138.0,avg_sp:-2.56,value_loss:0.04322028507788976,policy_loss:-0.015670478530228137,dist_entropy:0.8085056662559509,actor_grad_norm:1.2549694776535034,critic_grad_norm:0.2055472731590271,ratio:1.0028778314590454,average_step_rewards:-1.2374999523162842
episode:61,Updates:61/250,Timesteps:12400/50000,FPS:138.0,avg_sp:-2.28,value_loss:0.020947206020355224,policy_loss:0.012184266094118356,dist_entropy:0.824478284517924,actor_grad_norm:1.043449878692627,critic_grad_norm:0.15556401014328003,ratio:0.9951912760734558,average_step_rewards:-1.0125000476837158
episode:62,Updates:62/250,Timesteps:12600/50000,FPS:138.0,avg_sp:-2.33,value_loss:0.02455418345828851,policy_loss:-0.026723407829801243,dist_entropy:0.8344812115033468,actor_grad_norm:1.5251203775405884,critic_grad_norm:0.30937665700912476,ratio:0.9983951449394226,average_step_rewards:-1.1349999904632568
episode:63,Updates:63/250,Timesteps:12800/50000,FPS:138.0,avg_sp:-2.85,value_loss:0.027003679797053336,policy_loss:-0.011915475782006978,dist_entropy:0.8336289445559184,actor_grad_norm:1.3350651264190674,critic_grad_norm:0.2849079668521881,ratio:0.9914883971214294,average_step_rewards:-1.309999942779541
episode:64,Updates:64/250,Timesteps:13000/50000,FPS:138.0,avg_sp:-2.87,value_loss:0.0743440642952919,policy_loss:0.0004490724279700468,dist_entropy:0.8091418544451395,actor_grad_norm:1.5614185333251953,critic_grad_norm:0.3418026268482208,ratio:0.9961450099945068,average_step_rewards:-1.309999942779541
episode:65,Updates:65/250,Timesteps:13200/50000,FPS:138.0,avg_sp:-2.6,value_loss:0.029045291741689048,policy_loss:0.038997972011566163,dist_entropy:0.7974589864412943,actor_grad_norm:1.4524492025375366,critic_grad_norm:0.2099205106496811,ratio:0.9960415959358215,average_step_rewards:-1.3574999570846558
episode:66,Updates:66/250,Timesteps:13400/50000,FPS:138.0,avg_sp:-2.48,value_loss:0.09635711510976155,policy_loss:0.04539584368467331,dist_entropy:0.7904262582461039,actor_grad_norm:1.6373553276062012,critic_grad_norm:0.45027855038642883,ratio:0.9993324875831604,average_step_rewards:-1.0824999809265137
episode:67,Updates:67/250,Timesteps:13600/50000,FPS:138.0,avg_sp:-2.32,value_loss:0.03489491393168767,policy_loss:-0.009741696443719168,dist_entropy:0.7939092079798381,actor_grad_norm:1.541546106338501,critic_grad_norm:0.23100145161151886,ratio:1.0005418062210083,average_step_rewards:-1.027500033378601
episode:68,Updates:68/250,Timesteps:13800/50000,FPS:138.0,avg_sp:-2.37,value_loss:0.021156036481261253,policy_loss:-0.03667726417382558,dist_entropy:0.7803455789883932,actor_grad_norm:1.3965191841125488,critic_grad_norm:0.3646879196166992,ratio:1.0013338327407837,average_step_rewards:-1.1974999904632568
episode:69,Updates:69/250,Timesteps:14000/50000,FPS:138.0,avg_sp:-2.58,value_loss:0.0677662119269371,policy_loss:0.05731896683573723,dist_entropy:0.7768832405408224,actor_grad_norm:1.2024551630020142,critic_grad_norm:0.5702577829360962,ratio:0.9960512518882751,average_step_rewards:-1.2000000476837158
episode:70,Updates:70/250,Timesteps:14200/50000,FPS:138.0,avg_sp:-2.43,value_loss:0.12604546397924424,policy_loss:0.015068583687146505,dist_entropy:0.7786310394605,actor_grad_norm:1.6798381805419922,critic_grad_norm:0.6959234476089478,ratio:0.999058723449707,average_step_rewards:-1.149999976158142
episode:71,Updates:71/250,Timesteps:14400/50000,FPS:138.0,avg_sp:-2.5,value_loss:0.026006561145186423,policy_loss:0.02572365142405033,dist_entropy:0.772568655014038,actor_grad_norm:1.6930018663406372,critic_grad_norm:0.38122037053108215,ratio:1.002973198890686,average_step_rewards:-1.149999976158142
episode:72,Updates:72/250,Timesteps:14600/50000,FPS:138.0,avg_sp:-2.6,value_loss:0.04126225436727206,policy_loss:-0.006665420772818228,dist_entropy:0.7739337682723999,actor_grad_norm:1.1749529838562012,critic_grad_norm:0.23057542741298676,ratio:0.98736172914505,average_step_rewards:-1.3250000476837158
episode:73,Updates:73/250,Timesteps:14800/50000,FPS:138.0,avg_sp:-2.26,value_loss:0.08670094261566798,policy_loss:0.03036318297187487,dist_entropy:0.735306962331136,actor_grad_norm:2.1769988536834717,critic_grad_norm:0.4574848711490631,ratio:0.9984833002090454,average_step_rewards:-1.0625
episode:74,Updates:74/250,Timesteps:15000/50000,FPS:138.0,avg_sp:-2.11,value_loss:0.021054724107186,policy_loss:0.04678160374363263,dist_entropy:0.7147605737050374,actor_grad_norm:1.184009313583374,critic_grad_norm:0.45897340774536133,ratio:0.9943996071815491,average_step_rewards:-0.9850000143051147
episode:75,Updates:75/250,Timesteps:15200/50000,FPS:138.0,avg_sp:-2.42,value_loss:0.0210946316520373,policy_loss:-0.061922111362218854,dist_entropy:0.7352022012074788,actor_grad_norm:1.2601757049560547,critic_grad_norm:0.27942800521850586,ratio:1.0021110773086548,average_step_rewards:-1.127500057220459
episode:76,Updates:76/250,Timesteps:15400/50000,FPS:138.0,avg_sp:-2.33,value_loss:0.030705078567067782,policy_loss:-0.02191720927755038,dist_entropy:0.7288951913515727,actor_grad_norm:1.4996346235275269,critic_grad_norm:0.4092074930667877,ratio:0.9978352189064026,average_step_rewards:-1.0774999856948853
episode:77,Updates:77/250,Timesteps:15600/50000,FPS:138.0,avg_sp:-2.14,value_loss:0.02514906090994676,policy_loss:0.0030858739279210567,dist_entropy:0.7140818039576212,actor_grad_norm:1.7569350004196167,critic_grad_norm:0.17391014099121094,ratio:1.0036083459854126,average_step_rewards:-1.027500033378601
