episode:37,Updates:37/50,Timesteps:7600/10000,FPS:52.0,avg_sp:-1.09,avg_xp_0_0:-2.85,avg_xp_0_1:-2.97,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.09736667865266403,policy_loss:-0.01771213350724438,dist_entropy:0.7492456048727035,actor_grad_norm:0.9626338700453441,critic_grad_norm:2.6575277517239253,ratio:3.9718971570332844,best_i:0,average_step_rewards:-0.5450000166893005
episode:38,Updates:38/50,Timesteps:7800/10000,FPS:52.0,avg_sp:-1.35,avg_xp_0_0:-3.2,avg_xp_0_1:-3.27,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.0816069547397395,policy_loss:-0.014721890605248816,dist_entropy:0.6954190780719122,actor_grad_norm:1.5465330402056376,critic_grad_norm:3.5550139298041663,ratio:3.9939642707506815,best_i:0,average_step_rewards:-0.675000011920929
episode:39,Updates:39/50,Timesteps:8000/10000,FPS:51.0,avg_sp:-1.21,avg_xp_0_0:-2.76,avg_xp_0_1:-3.23,avg_xp_1_0:-3.376237623762376,avg_xp_1_1:-3.29,avg_xp_2_0:-3.51,avg_xp_2_1:-3.53,value_loss:0.11939514220381776,policy_loss:-0.0062221775245463575,dist_entropy:0.6872768580913544,actor_grad_norm:1.2450613180796306,critic_grad_norm:2.956783083577951,ratio:4.017805600166321,best_i:0,average_step_rewards:-0.6050000190734863
episode:40,Updates:40/50,Timesteps:8200/10000,FPS:52.0,avg_sp:-1.37,avg_xp_0_0:-3.09,avg_xp_0_1:-2.8,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.19880886984368165,policy_loss:-0.010306335610400612,dist_entropy:0.667725799481074,actor_grad_norm:1.4132764140764873,critic_grad_norm:5.15240664879481,ratio:4.0231810212135315,best_i:0,average_step_rewards:-0.6850000023841858
episode:41,Updates:41/50,Timesteps:8400/10000,FPS:52.0,avg_sp:-0.97,avg_xp_0_0:-2.77,avg_xp_0_1:-2.91,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.1185672058413426,policy_loss:-0.004876527998976746,dist_entropy:0.6337817067901294,actor_grad_norm:1.3892370800177256,critic_grad_norm:5.741840916872024,ratio:3.9333670775095624,best_i:0,average_step_rewards:-0.48500001430511475
episode:42,Updates:42/50,Timesteps:8600/10000,FPS:51.0,avg_sp:-1.41,avg_xp_0_0:-2.9,avg_xp_0_1:-3.16,avg_xp_1_0:-3.872549019607843,avg_xp_1_1:-3.33,avg_xp_2_0:-3.21,avg_xp_2_1:-3.66,value_loss:0.12530147278060516,policy_loss:0.00019925529101854817,dist_entropy:0.6375734259684881,actor_grad_norm:2.148191984494527,critic_grad_norm:2.7518676315744717,ratio:3.9745919624964396,best_i:0,average_step_rewards:-0.7049999833106995
episode:43,Updates:43/50,Timesteps:8800/10000,FPS:52.0,avg_sp:-1.37,avg_xp_0_0:-2.77,avg_xp_0_1:-3.02,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.100210354787608,policy_loss:-0.004335923785850741,dist_entropy:0.6243672728538513,actor_grad_norm:1.6945984641710916,critic_grad_norm:1.905277505517006,ratio:3.996399796009064,best_i:0,average_step_rewards:-0.6850000023841858
episode:44,Updates:44/50,Timesteps:9000/10000,FPS:52.0,avg_sp:-0.97,avg_xp_0_0:-2.8,avg_xp_0_1:-2.78,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.11471151436368625,policy_loss:-0.004337488972526031,dist_entropy:0.5651345094045003,actor_grad_norm:1.1283571004867554,critic_grad_norm:2.3914089113473893,ratio:3.991055941581726,best_i:0,average_step_rewards:-0.48500001430511475
episode:45,Updates:45/50,Timesteps:9200/10000,FPS:51.0,avg_sp:-1.05,avg_xp_0_0:-3.04,avg_xp_0_1:-2.85,avg_xp_1_0:-3.7524752475247523,avg_xp_1_1:-3.19,avg_xp_2_0:-3.43,avg_xp_2_1:-3.43,value_loss:0.07830034159123897,policy_loss:-0.005169399568638633,dist_entropy:0.5757024695475896,actor_grad_norm:1.973994541168213,critic_grad_norm:2.589200689395269,ratio:3.997244584560394,best_i:0,average_step_rewards:-0.5249999761581421
episode:46,Updates:46/50,Timesteps:9400/10000,FPS:52.0,avg_sp:-1.49,avg_xp_0_0:-2.65,avg_xp_0_1:-2.97,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.08938659721364578,policy_loss:-0.0005503416692370903,dist_entropy:0.5376186201969783,actor_grad_norm:1.6008460601170857,critic_grad_norm:3.3438900925219057,ratio:3.999531344572703,best_i:0,average_step_rewards:-0.7450000047683716
episode:47,Updates:47/50,Timesteps:9600/10000,FPS:52.0,avg_sp:-1.11,avg_xp_0_0:-2.67,avg_xp_0_1:-2.92,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.09104680204764008,policy_loss:-0.006827806607858896,dist_entropy:0.5145267059405645,actor_grad_norm:1.3549140810966491,critic_grad_norm:2.9797032984594503,ratio:3.972810669740041,best_i:0,average_step_rewards:-0.5550000071525574
episode:48,Updates:48/50,Timesteps:9800/10000,FPS:51.0,avg_sp:-1.19,avg_xp_0_0:-3.02,avg_xp_0_1:-2.97,avg_xp_1_0:-3.41,avg_xp_1_1:-3.8137254901960786,avg_xp_2_0:-3.35,avg_xp_2_1:-3.44,value_loss:0.12843592825035255,policy_loss:0.001001134245850325,dist_entropy:0.5794617782036463,actor_grad_norm:2.355302703380585,critic_grad_norm:4.492249097426733,ratio:3.957033888498942,best_i:0,average_step_rewards:-0.5950000286102295
episode:49,Updates:49/50,Timesteps:10000/10000,FPS:52.0,avg_sp:-1.3,avg_xp_0_0:-3.15,avg_xp_0_1:-2.99,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.10100581205139557,policy_loss:-0.0061655347413617145,dist_entropy:0.5307822619875272,actor_grad_norm:1.9367088993390402,critic_grad_norm:2.65158601552248,ratio:3.990740935007731,best_i:0,average_step_rewards:-0.6650000214576721
